,,янв.-22,февр.-22,мар.-22,апр.-22,мая-22,июн.-22,июл.-22,авг.-22,сент.-22,окт.-22,нояб.-22,дек.-22,янв.-23,февр.-23,мар.-23,апр.-23,мая-23,июн.-23,июл.-23,авг.-23,сент.-23,окт.-23,нояб.-23,дек.-23,янв.-24,февр.-24,мар.-24,апр.-24,мая-24,июн.-24,июл.-24,авг.-24,сент.-24,окт.-24,нояб.-24,дек.-24,янв.-25,февр.-25,мар.-25,апр.-25,мая-25,июн.-25,июл.-25,авг.-25,сент.-25,окт.-25,нояб.-25,дек.-25,янв.-26,февр.-26,мар.-26,апр.-26,мая-26,июн.-26,июл.-26,авг.-26,сент.-26,окт.-26,нояб.-26,дек.-26,янв.-27,февр.-27,мар.-27,апр.-27,мая-27,июн.-27,июл.-27,авг.-27,сент.-27,окт.-27,нояб.-27,дек.-27,янв.-28,февр.-28,мар.-28,апр.-28,мая-28,июн.-28,июл.-28,авг.-28,сент.-28,окт.-28,нояб.-28,дек.-28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ЖК ""Евгеньевский""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Квартиры,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
График оплаты остатка по ДДУ,"782 368 510,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,,,,"782 368 510,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well Обводный,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Итого по проекту,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Выручка по контрактации,"9 262 676 159,46","53 373 587,90","589 141 742,54","211 786 750,00","74 347 875,00","50 076 135,00","36 037 470,00","16 590 000,00","42 558 000,00","82 110 850,10","39 772 500,00","96 008 440,00","195 101 640,00","97 914 197,94","101 976 118,00","125 161 966,00","199 290 509,23","120 484 351,00","150 038 942,00","269 906 802,00","387 415 041,00","532 306 102,74","617 949 968,01","526 545 077,00","1 076 813 487,00","130 659 323,00","224 658 047,00","215 420 129,00","184 075 343,00","199 682 960,00","129 461 610,00","124 322 404,00","183 486 500,00","154 737 650,00","195 967 573,00","352 651 990,00","353 877 194,00","259 892 183,00","181 312 367,00","70 413 500,00","52 829 220,00","67 910 550,00","59 975 820,00","134 084 344,00","164 819 850,00","110 664 150,00","19 065 900,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Фактические оплаты,"8 768 716 854,46","5 670 000,00","65 649 150,00","417 278 535,89","237 850 925,00","146 630 001,55","37 386 075,00","29 624 330,00","35 996 155,00","49 394 000,00","85 643 920,10","35 814 733,00","46 159 422,00","42 301 640,00","131 162 816,74","263 222 972,18","103 768 508,00","174 203 948,00","178 577 249,00","202 122 112,72","337 368 690,31","255 132 822,00","358 350 871,00","291 927 602,00","248 517 261,00","202 812 497,00","199 192 071,74","198 180 236,00","279 565 535,00","313 490 930,00","286 104 181,00","346 897 282,00","136 219 612,00","388 700 308,00","245 878 023,00","223 568 983,00","423 360 175,00","340 716 782,00","372 954 915,50","131 144 862,23","94 545 433,00","83 480 085,00","107 400 378,00","104 799 603,50","167 411 891,00","301 506 235,00","41 033 095,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
График оплаты остатка ,"493 959 305,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","452 563 205,00","9 802 300,00","11 836 300,00","13 487 500,00","6 270 000,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
Выручка по контрактации ДДУ,"8 943 408 140,46","53 373 587,90","589 141 742,54","211 786 750,00","74 347 875,00","50 076 135,00","36 037 470,00","16 590 000,00","42 558 000,00","82 110 850,10","39 772 500,00","96 008 440,00","195 101 640,00","97 914 197,94","101 976 118,00","125 161 966,00","199 290 509,23","120 484 351,00","150 038 942,00","269 906 802,00","387 415 041,00","532 306 102,74","617 949 968,01","526 545 077,00","1 067 342 287,00","119 736 375,00","207 902 828,00","196 065 820,00","165 010 200,00","181 950 000,00","111 110 900,00","110 452 840,00","158 978 400,00","136 970 500,00","174 604 021,00","347 454 590,00","353 547 194,00","247 617 183,00","162 408 717,00","60 183 900,00","47 224 820,00","59 005 500,00","51 003 600,00","120 261 900,00","132 487 800,00","98 855 100,00","17 339 600,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
